Time,Number of players,Total bets,Multiplier
3.61,10798,932905.61,16.85
2.64,11639,953343.42,1.21
8.3,11060,826483.97,1.33
20.36,10918,734269.01,2.37
1.45,10086,637344.5,5.29
2.71,8470,598078.23,7.92
2.81,10322,802474.9,1.07
1.16,10341,199349.73,9.25
1.26,9172,724473.63,8.5
3.01,9161,793801.79,2.5
1.15,11763,1006871.04,1.29
2.48,10357,804396.79,3.62
1.75,11247,959371.77,1.07
1.79,10834,969581.56,23.38
11.41,10684,972626.75,1.15
1.53,11456,907484.58,1.22
1.42,10424,854484.8,3.62
2.42,10013,829120.41,1.15
1.42,11494,994333.05,1.33
1.97,10459,932990.25,5.42
1.69,11051,1044601.09,1.15
8.15,10543,919949.33,1.89
1.52,11049,799854.73,1.96
1.39,9976,806746.56,1.9
1.2,9549,780218.91,29.02
1.53,9148,710222.93,5.29
3.09,9751,800349.25,2.19
1.27,10770,868411.13,1.52
2.42,9529,771971.65,1.96
3.15,10200,854088.94,5.42
2.21,10195,785235.99,1.81
5.03,9866,738979.11,1.28
1.97,10265,724919.91,2.7
26.7,9657,666229.06,3.01
2.97,10352,698371.54,2.5
12.48,9741,662145.98,1.02
2.13,10131,634244.04,1.17
1.17,9821,730528.42,3.62
1.59,8373,636571.92,1.02
15.36,9478,727097.85,7.92
4.04,11081,778029.1,1.52
4.95,10786,750859.95,1.6
2.89,10920,708228.2,8.51
1.01,10500,754704.42,16.85
25.63,9374,615208.52,1.96
1.1,10500,814144.75,1
9.78,10375,731407.2,1.52
25.98,11382,804885.99,24.11
1.01,10500,879591.16,1.23
6,11243,884355.46,16.85
2.33,11938,879303.85,2.19
1.57,12327,940213,1.02
1.53,11560,861460.22,1.52
1.47,11716,944183.08,1.11
6.36,11470,923328.46,5.21
1.05,10500,960119.79,6.1
5.32,12099,918258.2,1.15
1.53,12438,865218.61,19.47
1.72,12181,927264.33,2.5
2.53,12431,1012791.06,5.21
1.28,13074,1031427.82,6.1
1.03,10500,876557.46,6.68
1.88,11603,953621.05,3.62
14.38,11758,988720.95,3.87
3.14,12187,874738.41,3.01
1.99,11771,814889.87,24.11
1.72,11256,819992.8,19.47
27.67,10667,728792.71,5.21
2.35,12085,834254.96,5.42
2.32,11029,751555.57,1.02
1.21,11694,882527.06,2.19
1.88,10609,811317.41,1.11
1.86,12207,989131.52,3.01
3.02,12415,1022573.17,16.85
1.9,13179,1014745.63,5.42
1.08,10500,935176.64,1.23
1.08,10500,866202.99,2.76
1.31,10700,864230.01,1.21
3.35,10332,889001.29,1.15
18.38,11978,946342.94,23.38
1.52,11631,799268.09,19.47
4.68,10511,711762.47,1.96
1.29,11525,817827.79,5.21
2.94,10624,808719.08,2.7
1.06,10500,849295.74,1.38
1.38,11043,816107.1,1.04
2.34,10601,858811.97,1.89
1,10500,976351.33,1.49
3.45,11200,1028787.36,1.28
8.7,11575,897927.56,2.17
29.64,11317,721989.45,6.1
1.44,10941,741217.2,9.25
3.56,9294,708454.69,1.89
6,10923,694833.55,1.23
2.48,11253,711407.68,24.11
5.15,9884,722993.06,1.72
6.32,12403,824374.14,1.72
